review,model,sentiment,clean_text
"The venue was a fire hazard.  Seriously, it was dangerous.",Gemini-1.5-Flash,negative,venue fire hazard seriously dangerous
This event was a total disaster.  I'll never go back.,Gemini-1.5-Flash,negative,event total disaster never go back
"The movie was slow, boring, and had terrible acting.",Gemini-1.5-Flash,negative,movie slow boring terrible acting
"The venue was small, dirty, and the sound was terrible.",Gemini-1.5-Flash,negative,venue small dirty sound terrible
This event was poorly organized and lacked any clear direction.,Gemini-1.5-Flash,negative,event poorly organized lacked clear direction
The movie was confusing and lacked a coherent plot.,Gemini-1.5-Flash,negative,movie confusing lacked coherent plot
The venue was uncomfortable and lacked adequate seating.,Gemini-1.5-Flash,negative,venue uncomfortable lacked adequate seating
This event was a complete waste of time and money.  Avoid it.,Gemini-1.5-Flash,negative,event complete waste time money avoid
The movie was predictable and lacked any originality.,Gemini-1.5-Flash,negative,movie predictable lacked originality
The venue was difficult to access and lacked proper parking.,Gemini-1.5-Flash,negative,venue difficult access lacked proper parking
This event was a disaster.  The performers were unprofessional.,Gemini-1.5-Flash,negative,event disaster performer unprofessional
The movie was terrible.  I regret watching it.,Gemini-1.5-Flash,negative,movie terrible regret watching
The venue was run-down and in desperate need of repair.,Gemini-1.5-Flash,negative,venue run desperate need repair
This event was a complete letdown.  I'm so disappointed.,Gemini-1.5-Flash,negative,event complete letdown disappointed
"The movie was boring, predictable, and had terrible dialogue.",Gemini-1.5-Flash,negative,movie boring predictable terrible dialogue
The venue was overcrowded and chaotic.  It was a nightmare.,Gemini-1.5-Flash,negative,venue overcrowded chaotic nightmare
This event was poorly managed and lacked any customer service.,Gemini-1.5-Flash,negative,event poorly managed lacked customer service
The movie was a complete mess.  I couldn't follow the plot.,Gemini-1.5-Flash,negative,movie complete mess follow plot
The venue was uncomfortable and the temperature was unbearable.,Gemini-1.5-Flash,negative,venue uncomfortable temperature unbearable
This event was a waste of time and money.  I'm so angry.,Gemini-1.5-Flash,negative,event waste time money angry
"The movie was so bad, I walked out halfway through.",Gemini-1.5-Flash,negative,movie bad walked halfway
The venue was poorly lit and difficult to navigate.,Gemini-1.5-Flash,negative,venue poorly lit difficult navigate
This event was a complete failure.  I'm so frustrated.,Gemini-1.5-Flash,negative,event complete failure frustrated
The movie was unoriginal and lacked any creativity.,Gemini-1.5-Flash,negative,movie unoriginal lacked creativity
The venue was dirty and lacked basic hygiene standards.,Gemini-1.5-Flash,negative,venue dirty lacked basic hygiene standard
This event was a total disappointment.  I'm so upset.,Gemini-1.5-Flash,negative,event total disappointment upset
The movie was a complete waste of time.  Don't bother watching it.,Gemini-1.5-Flash,negative,movie complete waste time bother watching
The venue was expensive and didn't offer anything special.,Gemini-1.5-Flash,negative,venue expensive offer anything special
This event was poorly organized and chaotic.  It was a mess.,Gemini-1.5-Flash,negative,event poorly organized chaotic mess
The movie was boring and had no redeeming qualities.,Gemini-1.5-Flash,negative,movie boring redeeming quality
The venue was inaccessible to those with disabilities.,Gemini-1.5-Flash,negative,venue inaccessible disability
This event was a complete rip-off.  I'm demanding a refund.,Gemini-1.5-Flash,negative,event complete rip demanding refund
The movie was slow-paced and lacked any excitement.,Gemini-1.5-Flash,negative,movie slow paced lacked excitement
The venue was uncomfortable and lacked proper ventilation.,Gemini-1.5-Flash,negative,venue uncomfortable lacked proper ventilation
This event was a total disaster.  I'm so disappointed.,Gemini-1.5-Flash,negative,event total disaster disappointed
The movie was confusing and poorly edited.,Gemini-1.5-Flash,negative,movie confusing poorly edited
"The venue was noisy and disruptive, ruining the event.",Gemini-1.5-Flash,negative,venue noisy disruptive ruining event
This event was a complete waste of my time and money.,Gemini-1.5-Flash,negative,event complete waste time money
The movie was predictable and lacked any suspense.,Gemini-1.5-Flash,negative,movie predictable lacked suspense
The venue was poorly maintained and in need of renovation.,Gemini-1.5-Flash,negative,venue poorly maintained need renovation
This event was a total letdown.  I'm so angry.,Gemini-1.5-Flash,negative,event total letdown angry
The movie was boring and had terrible special effects.,Gemini-1.5-Flash,negative,movie boring terrible special effect
The venue was difficult to find and poorly advertised.,Gemini-1.5-Flash,negative,venue difficult find poorly advertised
This event was a complete failure.  I regret going.,Gemini-1.5-Flash,negative,event complete failure regret going
The movie was uninspired and lacked any originality.,Gemini-1.5-Flash,negative,movie uninspired lacked originality
The venue was uncomfortable and lacked basic amenities.,Gemini-1.5-Flash,negative,venue uncomfortable lacked basic amenity
This event was a complete disappointment.  I'm so frustrated.,Gemini-1.5-Flash,negative,event complete disappointment frustrated
The movie was a complete waste of my time and money.,Gemini-1.5-Flash,negative,movie complete waste time money
The venue was overpriced and understaffed.  It was a disaster.,Gemini-1.5-Flash,negative,venue overpriced understaffed disaster
This event was poorly organized and lacked any entertainment value.,Gemini-1.5-Flash,negative,event poorly organized lacked entertainment value
The movie was boring and had terrible acting.,Gemini-1.5-Flash,negative,movie boring terrible acting
The venue was dirty and smelled bad.,Gemini-1.5-Flash,negative,venue dirty smelled bad
This event was a complete letdown.  I'm so upset.,Gemini-1.5-Flash,negative,event complete letdown upset
The movie was confusing and difficult to follow.,Gemini-1.5-Flash,negative,movie confusing difficult follow
The venue was inaccessible and difficult to navigate.,Gemini-1.5-Flash,negative,venue inaccessible difficult navigate
This event was a total waste of my time.,Gemini-1.5-Flash,negative,event total waste time
The movie was unoriginal and predictable.,Gemini-1.5-Flash,negative,movie unoriginal predictable
The venue was uncomfortable and lacked proper seating.,Gemini-1.5-Flash,negative,venue uncomfortable lacked proper seating
This event was a complete disappointment.  I'm so angry.,Gemini-1.5-Flash,negative,event complete disappointment angry
The movie was boring and had a terrible plot.,Gemini-1.5-Flash,negative,movie boring terrible plot
The venue was poorly maintained and in disrepair.,Gemini-1.5-Flash,negative,venue poorly maintained disrepair
This event was a complete failure.  I'm so frustrated.,Gemini-1.5-Flash,negative,event complete failure frustrated
The movie was a waste of time and money.,Gemini-1.5-Flash,negative,movie waste time money
The venue was overcrowded and uncomfortable.,Gemini-1.5-Flash,negative,venue overcrowded uncomfortable
This event was a total letdown. I'm so disappointed.,Gemini-1.5-Flash,negative,event total letdown disappointed
This product is garbage. It broke after only a week.  I'm so disappointed.,Gemini-1.5-Flash,negative,product garbage broke week disappointed
The movie was a complete waste of time.  The plot was nonsensical and the acting was awful.,Gemini-1.5-Flash,negative,movie complete waste time plot nonsensical acting awful
"What a terrible event!  Poorly organized, overpriced, and the performers were terrible.",Gemini-1.5-Flash,negative,terrible event poorly organized overpriced performer terrible
"This venue is a dump.  Dirty, smelly, and the staff were incredibly rude.",Gemini-1.5-Flash,negative,venue dump dirty smelly staff incredibly rude
I hate this product! It doesn't work as advertised and the customer service is terrible.,Gemini-1.5-Flash,negative,hate product work advertised customer service terrible
The movie was boring and predictable. I could have stayed home and watched paint dry.,Gemini-1.5-Flash,negative,movie boring predictable could stayed home watched paint dry
This event was a complete letdown.  I left feeling ripped off and angry.,Gemini-1.5-Flash,negative,event complete letdown left feeling ripped angry
The venue was overcrowded and uncomfortable.  I couldn't even enjoy the event.,Gemini-1.5-Flash,negative,venue overcrowded uncomfortable even enjoy event
This product is cheaply made and fell apart immediately.  Don't waste your money!,Gemini-1.5-Flash,negative,product cheaply made fell apart immediately waste money
"The movie was so slow and boring, I almost fell asleep.  Total waste of time.",Gemini-1.5-Flash,negative,movie slow boring almost fell asleep total waste time
This event was a disorganized mess.  No one knew what was going on.,Gemini-1.5-Flash,negative,event disorganized mess one knew going
The venue was dirty and smelled awful.  I couldn't wait to leave.,Gemini-1.5-Flash,negative,venue dirty smelled awful wait leave
This product is a scam! It doesn't work at all.  I want my money back!,Gemini-1.5-Flash,negative,product scam work want money back
The movie had terrible special effects and a nonsensical plot.  I'm furious.,Gemini-1.5-Flash,negative,movie terrible special effect nonsensical plot furious
This event was poorly advertised and even worse in reality.  A complete waste of time.,Gemini-1.5-Flash,negative,event poorly advertised even worse reality complete waste time
The venue was far too expensive for what it offered.  I felt cheated.,Gemini-1.5-Flash,negative,venue far expensive offered felt cheated
This product is defective and I'm stuck with a useless piece of junk.,Gemini-1.5-Flash,negative,product defective stuck useless piece junk
The movie was confusing and poorly written.  I was lost the entire time.,Gemini-1.5-Flash,negative,movie confusing poorly written lost entire time
This event was a complete failure.  I regret attending.,Gemini-1.5-Flash,negative,event complete failure regret attending
The venue was noisy and distracting.  I couldn't focus on anything.,Gemini-1.5-Flash,negative,venue noisy distracting focus anything
This product stopped working after only a few uses.  Very disappointing.,Gemini-1.5-Flash,negative,product stopped working us disappointing
The movie was predictable and cliché.  I've seen better.,Gemini-1.5-Flash,negative,movie predictable clich seen better
This event was underwhelming and disappointing.  I expected so much more.,Gemini-1.5-Flash,negative,event underwhelming disappointing expected much
The venue was poorly maintained and unclean.  I'm disgusted.,Gemini-1.5-Flash,negative,venue poorly maintained unclean disgusted
This product is a complete rip-off.  The quality is terrible.,Gemini-1.5-Flash,negative,product complete rip quality terrible
The movie was boring and lacked any substance.  I'm so disappointed.,Gemini-1.5-Flash,negative,movie boring lacked substance disappointed
This event was poorly executed and lacked any creativity.,Gemini-1.5-Flash,negative,event poorly executed lacked creativity
The venue was uncomfortable and lacked basic amenities.  I was miserable.,Gemini-1.5-Flash,negative,venue uncomfortable lacked basic amenity miserable
This product doesn't work as described.  False advertising!,Gemini-1.5-Flash,negative,product work described false advertising
The movie was a complete waste of time and money.  Don't bother.,Gemini-1.5-Flash,negative,movie complete waste time money bother
This event was disorganized and lacked any real entertainment value.,Gemini-1.5-Flash,negative,event disorganized lacked real entertainment value
The venue was difficult to get to and poorly signposted. I almost missed it.,Gemini-1.5-Flash,negative,venue difficult get poorly signposted almost missed
This product is cheaply made and broke easily.  I'm so angry.,Gemini-1.5-Flash,negative,product cheaply made broke easily angry
"The movie was so predictable, it was insulting.  I'm so mad.",Gemini-1.5-Flash,negative,movie predictable insulting mad
This event was a huge letdown.  I'm so angry.,Gemini-1.5-Flash,negative,event huge letdown angry
The venue was overpriced and understaffed.  It was chaos.,Gemini-1.5-Flash,negative,venue overpriced understaffed chaos
This product is a total waste of money.  I regret buying it.,Gemini-1.5-Flash,negative,product total waste money regret buying
The movie was just plain bad.  I can't believe I paid to see it.,Gemini-1.5-Flash,negative,movie plain bad believe paid see
This event was a complete waste of my evening.  I'm so frustrated.,Gemini-1.5-Flash,negative,event complete waste evening frustrated
"The venue was cramped and uncomfortable, making the event unpleasant.",Gemini-1.5-Flash,negative,venue cramped uncomfortable making event unpleasant
This product is faulty and I'm extremely unhappy with it.,Gemini-1.5-Flash,negative,product faulty extremely unhappy
The movie was a complete disappointment.  I'm so upset.,Gemini-1.5-Flash,negative,movie complete disappointment upset
This event was poorly advertised and didn't live up to the hype.,Gemini-1.5-Flash,negative,event poorly advertised live hype
"The venue was a fire hazard.  Seriously, it was dangerous.",Gemini-1.5-Flash,negative,venue fire hazard seriously dangerous
This product is useless.  It doesn't do what it's supposed to do.,Gemini-1.5-Flash,negative,product useless supposed
"The movie was slow, boring, and had terrible acting.",Gemini-1.5-Flash,negative,movie slow boring terrible acting
This event was a total disaster.  I'll never go back.,Gemini-1.5-Flash,negative,event total disaster never go back
"The venue was small, dirty, and the sound was terrible.",Gemini-1.5-Flash,negative,venue small dirty sound terrible
This product is cheaply made and doesn't last.  Avoid it!,Gemini-1.5-Flash,negative,product cheaply made last avoid
The movie was confusing and lacked a coherent plot.,Gemini-1.5-Flash,negative,movie confusing lacked coherent plot
This event was poorly organized and lacked any clear direction.,Gemini-1.5-Flash,negative,event poorly organized lacked clear direction
The venue was uncomfortable and lacked adequate seating.,Gemini-1.5-Flash,negative,venue uncomfortable lacked adequate seating
This product is a scam!  I demand a refund!,Gemini-1.5-Flash,negative,product scam demand refund
The movie was predictable and lacked any originality.,Gemini-1.5-Flash,negative,movie predictable lacked originality
This event was a disaster.  The performers were unprofessional.,Gemini-1.5-Flash,negative,event disaster performer unprofessional
The venue was difficult to access and lacked proper parking.,Gemini-1.5-Flash,negative,venue difficult access lacked proper parking
This product is broken and I'm very disappointed.,Gemini-1.5-Flash,negative,product broken disappointed
The movie was terrible.  I regret watching it.,Gemini-1.5-Flash,negative,movie terrible regret watching
This event was a complete letdown.  I'm so disappointed.,Gemini-1.5-Flash,negative,event complete letdown disappointed
The venue was run-down and in desperate need of repair.,Gemini-1.5-Flash,negative,venue run desperate need repair
This product is a waste of money.  Don't buy it!,Gemini-1.5-Flash,negative,product waste money buy
"The movie was boring, predictable, and had terrible dialogue.",Gemini-1.5-Flash,negative,movie boring predictable terrible dialogue
This event was poorly managed and lacked any customer service.,Gemini-1.5-Flash,negative,event poorly managed lacked customer service
The venue was overcrowded and chaotic.  It was a nightmare.,Gemini-1.5-Flash,negative,venue overcrowded chaotic nightmare
This product is defective and doesn't function properly.,Gemini-1.5-Flash,negative,product defective function properly
The movie was a complete mess.  I couldn't follow the plot.,Gemini-1.5-Flash,negative,movie complete mess follow plot
This event was a waste of time and money.  I'm so angry.,Gemini-1.5-Flash,negative,event waste time money angry
The venue was uncomfortable and the temperature was unbearable.,Gemini-1.5-Flash,negative,venue uncomfortable temperature unbearable
This product stopped working after only one use.  Unbelievable!,Gemini-1.5-Flash,negative,product stopped working one use unbelievable
"The movie was so bad, I walked out halfway through.",Gemini-1.5-Flash,negative,movie bad walked halfway
This event was a complete failure.  I'm so frustrated.,Gemini-1.5-Flash,negative,event complete failure frustrated
The venue was poorly lit and difficult to navigate.,Gemini-1.5-Flash,negative,venue poorly lit difficult navigate
This product is junk.  It's cheaply made and doesn't work.,Gemini-1.5-Flash,negative,product junk cheaply made work
The movie was unoriginal and lacked any creativity.,Gemini-1.5-Flash,negative,movie unoriginal lacked creativity
This event was a total disappointment.  I'm so upset.,Gemini-1.5-Flash,negative,event total disappointment upset
The venue was dirty and lacked basic hygiene standards.,Gemini-1.5-Flash,negative,venue dirty lacked basic hygiene standard
This product is a complete waste of time.  Don't bother.,Gemini-1.5-Flash,negative,product complete waste time bother
The movie was slow-paced and lacked any excitement.,Gemini-1.5-Flash,negative,movie slow paced lacked excitement
This event was a total disaster.  I'm so disappointed.,Gemini-1.5-Flash,negative,event total disaster disappointed
The venue was expensive and didn't offer anything special.,Gemini-1.5-Flash,negative,venue expensive offer anything special
This product is useless and I regret buying it.,Gemini-1.5-Flash,negative,product useless regret buying
The movie was confusing and poorly edited.,Gemini-1.5-Flash,negative,movie confusing poorly edited
This event was a complete waste of my time and money.,Gemini-1.5-Flash,negative,event complete waste time money
"The venue was noisy and disruptive, ruining the event.",Gemini-1.5-Flash,negative,venue noisy disruptive ruining event
This product is terrible quality and I'm very unhappy.,Gemini-1.5-Flash,negative,product terrible quality unhappy
The movie was predictable and lacked any suspense.,Gemini-1.5-Flash,negative,movie predictable lacked suspense
This event was a total letdown.  I'm so angry.,Gemini-1.5-Flash,negative,event total letdown angry
The venue was poorly maintained and in need of renovation.,Gemini-1.5-Flash,negative,venue poorly maintained need renovation
This product is faulty and I'm demanding a refund.,Gemini-1.5-Flash,negative,product faulty demanding refund
The movie was boring and had terrible special effects.,Gemini-1.5-Flash,negative,movie boring terrible special effect
This event was a complete failure.  I regret going.,Gemini-1.5-Flash,negative,event complete failure regret going
The venue was difficult to find and poorly advertised.,Gemini-1.5-Flash,negative,venue difficult find poorly advertised
This product is a complete rip-off.  The price is outrageous.,Gemini-1.5-Flash,negative,product complete rip price outrageous
The movie was uninspired and lacked any originality.,Gemini-1.5-Flash,negative,movie uninspired lacked originality
This event was a complete disappointment.  I'm so frustrated.,Gemini-1.5-Flash,negative,event complete disappointment frustrated
The venue was uncomfortable and lacked basic amenities.,Gemini-1.5-Flash,negative,venue uncomfortable lacked basic amenity
This product is a waste of my hard-earned money.,Gemini-1.5-Flash,negative,product waste hard earned money
The movie was a complete waste of my time and money.,Gemini-1.5-Flash,negative,movie complete waste time money
This event was poorly organized and lacked any entertainment value.,Gemini-1.5-Flash,negative,event poorly organized lacked entertainment value
The venue was overpriced and understaffed. It was a disaster.,Gemini-1.5-Flash,negative,venue overpriced understaffed disaster
This product is cheaply made and falls apart easily.,Gemini-1.5-Flash,negative,product cheaply made fall apart easily
The movie was boring and had terrible acting.,Gemini-1.5-Flash,negative,movie boring terrible acting
This event was a complete letdown. I'm so upset.,Gemini-1.5-Flash,negative,event complete letdown upset
The venue was dirty and smelled bad.,Gemini-1.5-Flash,negative,venue dirty smelled bad
This product is defective and I'm requesting a replacement.,Gemini-1.5-Flash,negative,product defective requesting replacement
The movie was confusing and difficult to follow.,Gemini-1.5-Flash,negative,movie confusing difficult follow
This event was a total waste of my time.,Gemini-1.5-Flash,negative,event total waste time
The venue was inaccessible and difficult to navigate.,Gemini-1.5-Flash,negative,venue inaccessible difficult navigate
This product is a disappointment.  I expected better.,Gemini-1.5-Flash,negative,product disappointment expected better
The movie was unoriginal and predictable.,Gemini-1.5-Flash,negative,movie unoriginal predictable
This event was a complete disappointment. I'm so angry.,Gemini-1.5-Flash,negative,event complete disappointment angry
The venue was uncomfortable and lacked proper seating.,Gemini-1.5-Flash,negative,venue uncomfortable lacked proper seating
This product is poorly designed and difficult to use.,Gemini-1.5-Flash,negative,product poorly designed difficult use
The movie was boring and had a terrible plot.,Gemini-1.5-Flash,negative,movie boring terrible plot
This event was a complete failure. I'm so frustrated.,Gemini-1.5-Flash,negative,event complete failure frustrated
The venue was poorly maintained and in disrepair.,Gemini-1.5-Flash,negative,venue poorly maintained disrepair
This product is a waste of time and money.,Gemini-1.5-Flash,negative,product waste time money
"The product was okay, nothing special. It did the job, I guess.",Gemini-1.5-Flash,neutral,product okay nothing special job guess
"The movie was alright.  It wasn't amazing, but it wasn't terrible either.",Gemini-1.5-Flash,neutral,movie alright amazing terrible either
"The event was decent.  Could have been better organized, but it was fine.",Gemini-1.5-Flash,neutral,event decent could better organized fine
"The venue was average.  Nothing to write home about, but it served its purpose.",Gemini-1.5-Flash,neutral,venue average nothing write home served purpose
"It was a pretty standard product.  Not bad, not great.",Gemini-1.5-Flash,neutral,pretty standard product bad great
"The movie was watchable.  I've seen better, but I've seen worse.",Gemini-1.5-Flash,neutral,movie watchable seen better seen worse
The event was acceptable.  Nothing particularly memorable.,Gemini-1.5-Flash,neutral,event acceptable nothing particularly memorable
"The venue was adequate.  It wasn't luxurious, but it was functional.",Gemini-1.5-Flash,neutral,venue adequate luxurious functional
"It was a pretty run-of-the-mill product.  Met my expectations, I suppose.",Gemini-1.5-Flash,neutral,pretty run mill product met expectation suppose
The movie was passable.  I wouldn't rush to see it again.,Gemini-1.5-Flash,neutral,movie passable rush see
"The event was okay, nothing to get excited about.",Gemini-1.5-Flash,neutral,event okay nothing get excited
"The venue was satisfactory.  It did the job, but nothing more.",Gemini-1.5-Flash,neutral,venue satisfactory job nothing
"The product was functional.  It worked as intended, but wasn't impressive.",Gemini-1.5-Flash,neutral,product functional worked intended impressive
The movie was just okay.  I've seen better films.,Gemini-1.5-Flash,neutral,movie okay seen better film
"The event was pretty standard.  Nothing special, but it was fine.",Gemini-1.5-Flash,neutral,event pretty standard nothing special fine
"The venue was convenient.  Easy to get to, which was nice.",Gemini-1.5-Flash,neutral,venue convenient easy get nice
"The product was simple, but effective.  It did what it needed to do.",Gemini-1.5-Flash,neutral,product simple effective needed
"The movie was mildly entertaining.  Not a masterpiece, but not a disaster.",Gemini-1.5-Flash,neutral,movie mildly entertaining masterpiece disaster
"The event was alright.  It wasn't bad, but it wasn't great either.",Gemini-1.5-Flash,neutral,event alright bad great either
The venue was clean and tidy.  That's about all I can say.,Gemini-1.5-Flash,neutral,venue clean tidy say
"The product was as expected.  No surprises, good or bad.",Gemini-1.5-Flash,neutral,product expected surprise good bad
"The movie was a decent time killer.  Nothing remarkable, but it passed the time.",Gemini-1.5-Flash,neutral,movie decent time killer nothing remarkable passed time
The event was reasonably priced.  That was a plus.,Gemini-1.5-Flash,neutral,event reasonably priced plus
The venue was spacious enough.  No complaints there.,Gemini-1.5-Flash,neutral,venue spacious enough complaint
"The product worked fine.  No issues, no complaints.",Gemini-1.5-Flash,neutral,product worked fine issue complaint
The movie was an average film.  Nothing particularly memorable.,Gemini-1.5-Flash,neutral,movie average film nothing particularly memorable
"The event was well-attended.  That's a good sign, I guess.",Gemini-1.5-Flash,neutral,event well attended good sign guess
The venue had good acoustics.  That was a positive.,Gemini-1.5-Flash,neutral,venue good acoustic positive
"The product was pretty basic.  It's functional, but lacks features.",Gemini-1.5-Flash,neutral,product pretty basic functional lack feature
"The movie was a bit slow, but it wasn't terrible.",Gemini-1.5-Flash,neutral,movie bit slow terrible
The event could have used better signage.,Gemini-1.5-Flash,neutral,event could used better signage
The venue was easy to find.  That's helpful.,Gemini-1.5-Flash,neutral,venue easy find helpful
"The product was a bit pricey, but it worked well.",Gemini-1.5-Flash,neutral,product bit pricey worked well
"The movie was predictable, but enjoyable enough.",Gemini-1.5-Flash,neutral,movie predictable enjoyable enough
"The event was a bit disorganized, but overall okay.",Gemini-1.5-Flash,neutral,event bit disorganized overall okay
"The venue was a bit cramped, but manageable.",Gemini-1.5-Flash,neutral,venue bit cramped manageable
"The product was okay, but I've seen better.",Gemini-1.5-Flash,neutral,product okay seen better
"The movie was a bit long, but not unbearable.",Gemini-1.5-Flash,neutral,movie bit long unbearable
"The event was decent, but nothing special.",Gemini-1.5-Flash,neutral,event decent nothing special
The venue was clean and comfortable enough.,Gemini-1.5-Flash,neutral,venue clean comfortable enough
"The product met my basic needs.  It wasn't amazing, but it worked.",Gemini-1.5-Flash,neutral,product met basic need amazing worked
The movie was a so-so movie.  Nothing to rave about.,Gemini-1.5-Flash,neutral,movie movie nothing rave
The event was pretty uneventful.  It was okay.,Gemini-1.5-Flash,neutral,event pretty uneventful okay
The venue was conveniently located.  That was a plus.,Gemini-1.5-Flash,neutral,venue conveniently located plus
The product was alright for the price.  Not bad value.,Gemini-1.5-Flash,neutral,product alright price bad value
"The movie was a bit cheesy, but entertaining.",Gemini-1.5-Flash,neutral,movie bit cheesy entertaining
"The event was well-organized, but a bit boring.",Gemini-1.5-Flash,neutral,event well organized bit boring
The venue was modern and clean.,Gemini-1.5-Flash,neutral,venue modern clean
The product was simple to use.  That's a plus.,Gemini-1.5-Flash,neutral,product simple use plus
The movie was okay for a casual viewing.,Gemini-1.5-Flash,neutral,movie okay casual viewing
"The event was average.  It wasn't bad, but it wasn't great.",Gemini-1.5-Flash,neutral,event average bad great
The venue was fairly priced.  No complaints there.,Gemini-1.5-Flash,neutral,venue fairly priced complaint
The product was durable enough.  It held up well.,Gemini-1.5-Flash,neutral,product durable enough held well
The movie was a typical action film.  Nothing groundbreaking.,Gemini-1.5-Flash,neutral,movie typical action film nothing groundbreaking
"The event was a bit crowded, but manageable.",Gemini-1.5-Flash,neutral,event bit crowded manageable
The venue had adequate parking.  That was convenient.,Gemini-1.5-Flash,neutral,venue adequate parking convenient
The product was easy to assemble.  That was helpful.,Gemini-1.5-Flash,neutral,product easy assemble helpful
